품목코드,품목명,평균수주단가,Column 4
,,,
1.#JE+00,가쓰오다시국물900ml,,
11501122,조미액-갈릭라이스3kg,,
11501131,조미유-쉐프솔루션베이스볶음밥(시즌),,
13C01040,탕수소스140g,446.69421488,
13C01057,짬뽕소스JB 2kg (분리액상),4802.4586777,
13C01064,참깨베이스,76.315789474,
13C01067,매콤쌈장 (korean spicy soybean paste)(수출용),1466.6666667,
13D01020,케이준샐러드드레싱,5058.93627,
13D01108,용블루베리드레싱,3372.3214286,
13D01138,파인애플드레싱-E,4237.1944502,
13D01143,요거트드레싱,4003.9262633,
13D01149,요리愛[애]허니머스타드소스,1461.9016393,
13D01150,요리愛[애]사우전아일랜드드레싱,1685.6451613,
13D01156,시아스오리엔탈소스,5032.5482288,
13D01157,이마트1000아일랜드드레싱540g,1596.7721064,
13D01161,치킨샐러드드레싱,2633.9782346,
13D01164,케이준드레싱골드,4010.5357143,
13D01165,사우전아일랜드-K,2716.2740385,
13D01166,핫베이컨드레싱,2953.7651332,
13D01167,이마트그린키위드레싱580g,3042.3062645,
13D01168,이마트블루베리드레싱590g,3170.7063277,
13D01169,이마트프리미엄참깨드레싱550g,3218.9017632,
13D01170,KFC마요드레싱3kg,1357.9365079,
13D01172,레드와인드레싱,2644.4117647,
13D01173,오리엔탈소이소스,3369.7674419,
13D01180,트레이더스가쓰오다시국물,7390,
13D01181,메론드레싱,3389.2414391,
13D01186,오리엔탈드레싱280g,975,
13D01188,오리엔탈레몬소스,692.13483146,
13D01191,시아스발사믹드레싱,3798.1609195,
13D01193,스위트마요소스,2500,
13D01194,발사믹드레싱100g,535.12,
13D01195,KFC마요소스,1450,
13D01198,프리미엄키위드레싱,6262.5471698,
13D01199,프리미엄파인애플요거트드레싱,6311.7948718,
13D01202,요리愛(애)사우전아일랜드드레싱260g,2348.4335309,
13D01203,허니요거트드레싱네이처,7253.5993226,
13D01205,뉴만다린오렌지드레싱,3081.2,
13D01210,이마트파인애플드레싱335g,2254,
