AreaId,Area,dateObs,TempAvg,TempMin,hhmiTempMin,TempMax,hhmiTempMax,hourRainfall,RainfallAmount,HumidAvg,SnowloadMax,hhmiSnowloadMax
108,서울,2020-04-01,11.3,6,2358,17.4,1350,,,35.6,,
108,서울,2020-04-02,9.3,3.4,613,15.5,1315,,,41.4,,
108,서울,2020-04-03,10,5.3,504,16.3,1434,,,53.8,,
108,서울,2020-04-04,8.9,5,2358,13.3,1505,,,36.4,,
108,서울,2020-04-05,7.2,1.9,605,13.7,1516,,,29.5,,
108,서울,2020-04-06,9.3,2.9,601,16.1,1348,,,38.3,,
108,서울,2020-04-07,10.6,6,430,16.8,1416,,,56.6,,
108,서울,2020-04-08,9.4,5.2,457,14.2,1557,,,25.5,,
108,서울,2020-04-09,8.9,4.3,604,14.7,1437,,,44.6,,
108,서울,2020-04-10,10.7,5.8,520,16.8,1527,,,52.6,,
108,서울,2020-04-11,9.9,6.2,630,16,1441,,,63.8,,
108,서울,2020-04-12,9.9,4.4,617,15.6,1136,,,58.6,,
108,서울,2020-04-13,12.4,4.3,617,20.4,1617,,,39.4,,
108,서울,2020-04-14,13,7.6,631,19.6,1351,,,46.8,,
108,서울,2020-04-15,13.2,7.2,609,20.2,1510,,,39.8,,
108,서울,2020-04-16,16,8.9,353,23.8,1535,,,39.9,,
108,서울,2020-04-17,12.5,10.4,959,15.4,201,9.5,6.5,77.8,,
108,서울,2020-04-18,13.5,8.5,632,19.6,1455,,,67.9,,
108,서울,2020-04-19,12.3,9.5,2300,15.5,1332,9,10.3,75.8,,
108,서울,2020-04-20,10,7.6,2353,13.1,1059,2.33,0.1,73,,
108,서울,2020-04-21,7.4,4.8,2257,10.4,1418,,,49,,
108,서울,2020-04-22,6,4.1,550,8.3,1405,2.33,0,46.8,,
108,서울,2020-04-23,7.9,2.9,543,12.8,1456,,,47.8,,
108,서울,2020-04-24,9.9,4.1,612,14.3,1409,,,55.6,,
108,서울,2020-04-25,13.1,9.9,1,17.1,1447,,,54.4,,
108,서울,2020-04-26,12.3,6.8,612,19,1527,,,43.1,,
108,서울,2020-04-27,12.9,8.7,516,18.3,1419,,,49.8,,
108,서울,2020-04-28,13.9,7.8,555,19.9,1447,,,50,,
108,서울,2020-04-29,14.9,9.3,559,21,1333,,,48.6,,
108,서울,2020-04-30,17.1,9.3,553,23.4,1459,,,57.1,,
108,서울,2020-05-01,20.2,16.4,301,26.2,1450,,,73.6,,
108,서울,2020-05-02,20.3,18,328,23.9,1500,0.67,0,79.6,,
108,서울,2020-05-03,21.8,17,520,27.4,1459,1.08,0,68.8,,
108,서울,2020-05-04,20.2,14.8,2359,25.3,1358,,,63.9,,
108,서울,2020-05-05,16,13.1,519,19.3,1211,,,67.9,,
108,서울,2020-05-06,19.4,11.1,546,27.6,1546,,,50,,
108,서울,2020-05-07,20.7,14.9,541,26.5,1419,,,32.5,,
108,서울,2020-05-08,19.9,14.3,2357,27.3,1423,6.17,2.3,32.8,,
108,서울,2020-05-09,14.2,12.7,338,16.8,1623,24,24.4,94.4,,
108,서울,2020-05-10,14.4,12.8,138,16.6,1405,8.42,1.3,88.6,,
108,서울,2020-05-11,16.5,12.4,2358,22,1414,3,3.4,61,,
108,서울,2020-05-12,14.3,10.5,516,18.9,1527,0.83,0.7,69.4,,
108,서울,2020-05-13,16.1,10.2,607,21.8,1420,,,47.3,,
108,서울,2020-05-14,19.3,12.4,402,25.4,1346,,,35.4,,
108,서울,2020-05-15,16.1,14.1,1052,20.2,426,20.75,12,81.4,,
108,서울,2020-05-16,16.7,15,1,20.3,1644,12.67,2.5,90.3,,
108,서울,2020-05-17,19.1,14.6,537,24.9,1640,1,0,80.1,,
108,서울,2020-05-18,19.1,13.2,2202,26.8,1429,7,29.8,79.4,,
108,서울,2020-05-19,13,10.1,2355,17.1,1605,6.42,19,73.6,,
108,서울,2020-05-20,14.4,9.2,213,20.1,1427,0.58,0,60.4,,
108,서울,2020-05-21,17.4,10.9,519,22.9,1630,,,56.1,,
108,서울,2020-05-22,18.5,14.8,541,22.7,1541,0.5,0,68.5,,
108,서울,2020-05-23,20.1,16.6,545,25,1530,0.67,0,66.1,,
108,서울,2020-05-24,17.1,14.3,2319,20.2,1415,9.75,14.5,84.8,,
108,서울,2020-05-25,16.6,13.7,2357,21.3,1513,,,81,,
108,서울,2020-05-26,16.2,12.7,535,22.9,1400,2.67,1.5,81.9,,
108,서울,2020-05-27,17.4,11.8,602,23.9,1450,,,68.5,,
108,서울,2020-05-28,18.7,14.2,529,23.4,1605,0.25,0,62.8,,
108,서울,2020-05-29,20.7,14.6,546,27.6,1652,,,65.6,,
108,서울,2020-05-30,22.6,16.5,530,30,1601,,,57.3,,
108,서울,2020-05-31,21.2,17.6,523,28,1332,1.92,1,63,,
108,서울,2020-06-01,19.7,16.6,528,24.5,1603,3.75,0.4,64.3,,
108,서울,2020-06-02,17.9,14.8,449,21.8,1526,1.83,2,71,,
108,서울,2020-06-03,22,17.6,546,28.4,1516,,,73.3,,
108,서울,2020-06-04,21.9,19.7,2358,26.5,1401,6.75,0.2,81.1,,
108,서울,2020-06-05,23,18.4,443,28.7,1529,,,69.4,,
108,서울,2020-06-06,24.6,19.2,541,30.9,1543,,,63.6,,
108,서울,2020-06-07,22.7,19.2,318,29.2,1545,,,69.4,,
108,서울,2020-06-08,25,19.8,101,32,1529,,,63.6,,
108,서울,2020-06-09,26.7,20.3,558,32.8,1502,,,51.6,,
108,서울,2020-06-10,25.8,22.5,548,32.1,1356,6.58,6.2,63.8,,
108,서울,2020-06-11,26.1,21.7,511,31.6,1620,0.42,0,68.3,,
108,서울,2020-06-12,24.7,21.6,525,27.6,1421,,,68.6,,
108,서울,2020-06-13,26.9,20.6,541,33.5,1513,0.5,0,52.8,,
108,서울,2020-06-14,24,20.1,2355,28.8,1433,3.83,1.1,70.6,,
108,서울,2020-06-15,23,18.2,548,28.6,1500,,,62.3,,
108,서울,2020-06-16,24.4,20,357,30.7,1527,,,63,,
108,서울,2020-06-17,24.3,20.2,533,30.3,1455,,,58.6,,
108,서울,2020-06-18,23.4,20.3,541,27.3,1551,,,61.4,,
108,서울,2020-06-19,24.7,21.1,658,30,1448,1.83,0.1,61.4,,
108,서울,2020-06-20,24.9,20.7,503,29.7,1254,,,62.6,,
108,서울,2020-06-21,26.1,19.5,544,32.7,1450,,,59.5,,
108,서울,2020-06-22,28.6,21.7,522,35.4,1509,,,50.5,,
108,서울,2020-06-23,27.3,23.2,610,31,1405,0.5,0,53.5,,
108,서울,2020-06-24,22.3,19.9,1250,26.3,1,19.17,37.6,83.5,,
108,서울,2020-06-25,21.6,20.1,2331,23.4,1527,15.33,13.3,91,,
108,서울,2020-06-26,21.8,19.2,338,25.7,1529,5.83,2.1,82.1,,
108,서울,2020-06-27,24.1,20.4,524,29.6,1525,0.75,0,70.4,,
108,서울,2020-06-28,25.2,21.5,554,30.1,1507,,,70.5,,
108,서울,2020-06-29,23.8,20.6,2357,26.5,1059,5.08,11.9,77,,
108,서울,2020-06-30,20.1,18.4,507,23.1,1450,18.42,64.7,83,,
108,서울,2020-07-01,21.1,18.1,447,24.3,1642,2.17,0,79.3,,
108,서울,2020-07-02,24.2,20.4,114,29.8,1635,,,74.5,,
108,서울,2020-07-03,25.5,21.6,2400,30.6,1508,1.92,0.1,63.5,,
108,서울,2020-07-04,24.2,20.4,542,29.5,1451,4.83,1.6,63.9,,
108,서울,2020-07-05,23.8,19.9,521,27.6,1313,,,68.6,,
108,서울,2020-07-06,25.6,21.8,554,30.9,1605,,,66.6,,
108,서울,2020-07-07,24.1,22.1,659,28.1,1647,1.25,0,75.5,,
108,서울,2020-07-08,25.5,21.3,536,30.4,1602,,,71.9,,
