,고객번호,최근구매일,가입일,고객번호(가입일제외)
359,201901020750862,20200428,20190102,750862
360,201901020750867,20190102,20190102,750867
361,201901020750869,20190125,20190102,750869
362,201901020750872,20190103,20190102,750872
363,201901020750875,20190728,20190102,750875
364,201901020750884,20200715,20190102,750884
365,201901020750885,20190218,20190102,750885
366,201901020750888,20190507,20190102,750888
367,201901020750899,20190102,20190102,750899
368,201901020750900,20190207,20190102,750900
369,201901020750903,20190103,20190102,750903
370,201901020750910,20190530,20190102,750910
371,201901020750917,20190103,20190102,750917
372,201901020750927,20190331,20190102,750927
373,201901020750933,20191015,20190102,750933
374,201901020750934,20190103,20190102,750934
375,201901020750935,20190609,20190102,750935
376,201901020750939,20190107,20190102,750939
377,201901020750940,20190916,20190102,750940
378,201901020750941,20200727,20190102,750941
379,201901020750944,20190904,20190102,750944
380,201901020750946,20190407,20190102,750946
381,201901020750948,20190825,20190102,750948
382,201901020750950,20190621,20190102,750950
383,201901020750955,20190801,20190102,750955
384,201901020750957,20200705,20190102,750957
385,201901020750971,20190106,20190102,750971
386,201901020750974,20200410,20190102,750974
387,201901020750976,20190609,20190102,750976
388,201901020750977,20190107,20190102,750977
389,201901020750980,20190506,20190102,750980
390,201901020750982,20200706,20190102,750982
391,201901020750984,20200224,20190102,750984
392,201901020750987,20190509,20190102,750987
393,201901020750988,20190211,20190102,750988
394,201901020750989,20190401,20190102,750989
395,201901020750991,20190718,20190102,750991
396,201901020750997,20190626,20190102,750997
397,201901020750999,20190103,20190102,750999
398,201901020751000,20190914,20190102,751000
399,201901020751003,20190830,20190102,751003
400,201901020751021,20191030,20190102,751021
401,201901020751022,20200223,20190102,751022
402,201901020751023,20190318,20190102,751023
403,201901020751025,20200801,20190102,751025
404,201901020751026,20200112,20190102,751026
405,201901020751029,20190105,20190102,751029
406,201901020751032,20200719,20190102,751032
407,201901020751033,20190905,20190102,751033
408,201901020751034,20191217,20190102,751034
409,201901020751038,20200704,20190102,751038
410,201901020751042,20200429,20190102,751042
411,201901020751043,20200720,20190102,751043
412,201901020751049,20190103,20190102,751049
413,201901020751053,20190226,20190102,751053
414,201901020751061,20190103,20190102,751061
415,201901020751062,20200107,20190102,751062
416,201901020751063,20190217,20190102,751063
417,201901020751075,20190103,20190102,751075
418,201901020751076,20190411,20190102,751076
419,201901020751083,20200401,20190102,751083
420,201901020751085,20200624,20190102,751085
421,201901020751086,20190130,20190102,751086
422,201901020751088,20200224,20190102,751088
423,201901020751090,20190730,20190102,751090
424,201901020751091,20190103,20190102,751091
425,201901020751092,20191006,20190102,751092
426,201901020751094,20190103,20190102,751094
427,201901020751095,20191015,20190102,751095
428,201901020751106,20190529,20190102,751106
429,201901020751110,20200416,20190102,751110
430,201901020751113,20200627,20190102,751113
431,201901020751114,20190103,20190102,751114
432,201901020751117,20190406,20190102,751117
433,201901020751118,20191217,20190102,751118
434,201901020751125,20190218,20190102,751125
435,201901020751129,20200628,20190102,751129
436,201901020751135,20190103,20190102,751135
437,201901020751138,20190103,20190102,751138
438,201901020751141,20190103,20190102,751141
439,201901020751144,20190917,20190102,751144
440,201901020751145,20190225,20190102,751145
441,201901020751147,20190121,20190102,751147
442,201901020751150,20190429,20190102,751150
443,201901020751153,20200701,20190102,751153
444,201901020751155,20190626,20190102,751155
445,201901020751157,20190904,20190102,751157
446,201901020751160,20190206,20190102,751160
