antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'4단계'}),"frozenset({'3단계', '2단계'})",0.2958967352899609,0.13732510481933385,0.058698826965656946,0.198376054768349,1.444572389217065,0.018064776776264384,1.0761590896980664
frozenset({'3단계'}),"frozenset({'4단계', '2단계'})",0.40660479577896075,0.08253639233052244,0.058698826965656946,0.14436334144363341,1.7490871283242047,0.025139134017772687,1.0722584154089723
frozenset({'2단계'}),"frozenset({'4단계', '3단계'})",0.30183257172469025,0.15513261412352192,0.058698826965656946,0.19447479319494304,1.253603533297618,0.011874751086380322,1.0488404071518302
"frozenset({'3단계', '2단계'})",frozenset({'수유용품'}),0.13732510481933385,0.3329250482875583,0.055683798935318225,0.4054888507718697,1.2179583748881389,0.009964831782247496,1.1220562517263517
"frozenset({'3단계', '수유용품'})",frozenset({'2단계'}),0.14137654873510153,0.30183257172469025,0.055683798935318225,0.3938687104298567,1.3049244757756469,0.01301175164904153,1.1518419198758685
"frozenset({'2단계', '수유용품'})",frozenset({'3단계'}),0.09742309323031988,0.40660479577896075,0.055683798935318225,0.5715667311411992,1.4057058280540187,0.016071102008249356,1.3850353073691977
frozenset({'3단계'}),"frozenset({'2단계', '수유용품'})",0.40660479577896075,0.09742309323031988,0.055683798935318225,0.13694820994091067,1.4057058280540187,0.016071102008249356,1.0457969233895972
frozenset({'2단계'}),"frozenset({'3단계', '수유용품'})",0.30183257172469025,0.14137654873510153,0.055683798935318225,0.1844857187451225,1.3049244757756466,0.01301175164904153,1.0528613305749674
frozenset({'수유용품'}),"frozenset({'3단계', '2단계'})",0.3329250482875583,0.13732510481933385,0.055683798935318225,0.16725626149709918,1.2179583748881389,0.009964831782247496,1.0359428180529766
"frozenset({'4단계', '3단계'})",frozenset({'수유용품'}),0.15513261412352192,0.3329250482875583,0.06322136901116503,0.4075311266322503,1.2240927161486876,0.011573835963116341,1.1259240471497032
"frozenset({'4단계', '수유용품'})",frozenset({'3단계'}),0.09874216799359306,0.40660479577896075,0.06322136901116503,0.6402671755725191,1.5746670531662452,0.023072329959358283,1.649544228179441
"frozenset({'3단계', '수유용품'})",frozenset({'4단계'}),0.14137654873510153,0.2958967352899609,0.06322136901116503,0.44718427190936355,1.511284913201729,0.021388509793886436,1.2736672075918187
frozenset({'4단계'}),"frozenset({'3단계', '수유용품'})",0.2958967352899609,0.14137654873510153,0.06322136901116503,0.2136602451838879,1.511284913201729,0.021388509793886436,1.0919242553947819
frozenset({'3단계'}),"frozenset({'4단계', '수유용품'})",0.40660479577896075,0.09874216799359306,0.06322136901116503,0.15548603869771754,1.5746670531662454,0.023072329959358283,1.0671911576412811
frozenset({'수유용품'}),"frozenset({'4단계', '3단계'})",0.3329250482875583,0.15513261412352192,0.06322136901116503,0.1898967029857082,1.2240927161486876,0.011573835963116341,1.0429131556312787
"frozenset({'4단계', '3단계'})",frozenset({'이벤트'}),0.15513261412352192,0.25750223771611624,0.060724548923540775,0.3914363802004252,1.520128072176075,0.0207775536439831,1.2200824007988171
"frozenset({'4단계', '이벤트'})",frozenset({'3단계'}),0.10830546002732369,0.40660479577896075,0.060724548923540775,0.560678555893867,1.3789275525384213,0.01668702946738443,1.3507084896080885
"frozenset({'이벤트', '3단계'})",frozenset({'4단계'}),0.13011730343430536,0.2958967352899609,0.060724548923540775,0.4666908037653874,1.5772083571927842,0.0222232636325966,1.3202533721175345
frozenset({'4단계'}),"frozenset({'이벤트', '3단계'})",0.2958967352899609,0.13011730343430536,0.060724548923540775,0.2052220983919758,1.5772083571927844,0.0222232636325966,1.0944978399697771
frozenset({'3단계'}),"frozenset({'4단계', '이벤트'})",0.40660479577896075,0.10830546002732369,0.060724548923540775,0.14934538292202526,1.3789275525384213,0.01668702946738443,1.0482451068515621
frozenset({'이벤트'}),"frozenset({'4단계', '3단계'})",0.25750223771611624,0.15513261412352192,0.060724548923540775,0.23582144163922433,1.520128072176075,0.0207775536439831,1.1055889708405147
"frozenset({'이벤트', '3단계'})",frozenset({'수유용품'}),0.13011730343430536,0.3329250482875583,0.05361096716446036,0.41202027516292544,1.2375766776402177,0.010291657635547367,1.1345203304370468
"frozenset({'이벤트', '수유용품'})",frozenset({'3단계'}),0.10152164695906157,0.40660479577896075,0.05361096716446036,0.5280742459396752,1.2987408201322543,0.012331778635527375,1.2573910177938445
"frozenset({'3단계', '수유용품'})",frozenset({'이벤트'}),0.14137654873510153,0.25750223771611624,0.05361096716446036,0.3792069310229923,1.472635478379996,0.01720618950459015,1.1960471200289506
frozenset({'이벤트'}),"frozenset({'3단계', '수유용품'})",0.25750223771611624,0.14137654873510153,0.05361096716446036,0.20819612147822908,1.4726354783799962,0.01720618950459015,1.084389044504144
frozenset({'3단계'}),"frozenset({'이벤트', '수유용품'})",0.40660479577896075,0.10152164695906157,0.05361096716446036,0.1318503070327888,1.2987408201322541,0.012331778635527375,1.034934827852174
frozenset({'수유용품'}),"frozenset({'이벤트', '3단계'})",0.3329250482875583,0.13011730343430536,0.05361096716446036,0.1610301400877317,1.2375766776402175,0.010291657635547367,1.0368461825990494
